ID,Category,Title,Objective,When to use,Inputs,Prompt,Output format,Tip,Pairs with
ONB-05,Onboarding,Kickoff call agenda,Run a focused kickoff meeting that sets the project up well.,When scheduling the kickoff call.,[PROJECT] | [QUESTIONNAIRE ANSWERS]: summarized | [CALL LENGTH],"Create a [CALL LENGTH]-minute kickoff call agenda for [PROJECT]. Use the client's questionnaire answers (redacted) """"""[QUESTIONNAIRE ANSWERS]"""""" to list: items to confirm, open questions to resolve, decisions needed, and risks to discuss. Include timings for each agenda item, and end with ""agree next steps & dates"". Also write a 3-sentence email to send the agenda in advance.",A timed agenda plus a short cover email.,Share the agenda 24 hours before so the client arrives prepared.,DEL-04
ONB-06,Onboarding,Asset & access request,"Ask for files, logins and access in one clear, secure request.",Right after kickoff.,[ITEMS NEEDED] | [DEADLINE] | [SECURE SHARING METHOD],"Write an email asking a client for the assets and access I need: """"""[ITEMS NEEDED]"""""", by [DEADLINE]. Format as a checklist they can reply to. Explain how to share passwords securely using [SECURE SHARING METHOD] and ask them never to send passwords in plain email. Mention politely that the timeline starts when the items arrive. Under 180 words.",One email with a checklist.,Offer to walk them through access on a quick call if they're not technical.,ONB-05
ONB-07,Onboarding,Project folder & naming convention,Create a consistent file structure for every client.,Once; reuse for every new client.,"[SERVICE] | [TOOLS]: e.g., Google Drive, Dropbox","Design a simple folder structure and file-naming convention for [SERVICE] projects stored in [TOOLS]. Include: top-level folders (max 7), what goes in each, a naming pattern for files with a date and version (e.g., YYYY-MM-DD_Client_Deliverable_v01), and rules for archiving when a project ends. Keep it simple enough to follow on a busy day.","A folder tree, a naming pattern with 3 examples, and 3 archiving rules.",Save a template folder and copy it for each new client.,OPS-01
ONB-08,Onboarding,Expectations reset for a new client,Gently re-establish norms when a new client starts off with unrealistic expectations.,"Early in a project, when a client expects instant replies or unlimited revisions.",[SITUATION] | [AGREED TERMS],"A new client is expecting more than we agreed. Situation (redacted): """"""[SITUATION]"""""". Our agreed terms: """"""[AGREED TERMS]"""""". Write a friendly email that restates how we'll work (response times, revision rounds, channels), explains the benefit to them, and proposes a practical way forward. No blame, under 160 words, in my voice [VOICE PROFILE].",One email.,Do this early. Resetting expectations in week one is far easier than in week eight.,"SET-07, HARD-02"
ONB-09,Onboarding,Onboarding checklist tailored to a service,Turn the generic onboarding checklist into one that fits your exact service.,Once per service.,"[SERVICE] | [TOOLS] | [CURRENT STEPS]: what you do now, even if messy","Here's how I currently onboard clients for [SERVICE] using [TOOLS]: """"""[CURRENT STEPS]"""""". Turn it into a clean onboarding checklist in the order steps should happen, grouped into: Paperwork & payment; Welcome & information; Setup; Kickoff. Mark steps that can use a saved template (T) or could be automated later (A). Point out missing steps common in [SERVICE] projects.","A grouped checklist with T/A markers and a short ""missing steps"" list.",Copy the result into your SOP library (OPS-01).,OPS-01
ONB-10,Onboarding,First-week check-in message,Reassure a new client and surface issues early.,At the end of the first week of a project.,[PROGRESS SO FAR] | [NEXT STEPS],"Write a short end-of-first-week message to a new client. Progress so far: """"""[PROGRESS SO FAR]"""""". Coming up: """"""[NEXT STEPS]"""""". Ask one question that invites honest feedback about how things are going so far. Under 110 words, warm and specific, in my voice [VOICE PROFILE].",One short email or message.,Log any concerns they raise in the Notes column of your tracker.,DEL-01
DEL-01,Delivery & Client Communication,Weekly client update,Turn rough notes into a clear five-minute weekly update.,Every week for each active client.,[NOTES]: bullets you jotted during the week (redacted) | [VOICE PROFILE],"Turn my rough notes into a weekly client update using this structure: Done this week / Next week / Needed from you (with dates) / Risks or decisions. Notes (redacted): """"""[NOTES]"""""". Keep it under 150 words, in my voice [VOICE PROFILE]. If my notes mention a delay, state it plainly with the new expected date. Don't soften it into vagueness, and don't invent reasons.",A four-part update email under 150 words.,"Keep a running notes file per client during the week, since it makes this a two-minute job.","DEL-04, DEL-02"
DEL-02,Delivery & Client Communication,Delay notification,"Tell a client about a delay early, honestly and with a plan.",As soon as you know a milestone will slip.,[MILESTONE] | [ORIGINAL DATE] and [NEW DATE] | [REASON] | [WHAT I'M DOING ABOUT IT],"Write an email telling a client that [MILESTONE] will move from [ORIGINAL DATE] to [NEW DATE]. Reason (share appropriately): [REASON]. What I'm doing about it: [WHAT I'M DOING ABOUT IT]. Structure: the news first, one sentence of context, the plan, the impact on later milestones, and whether they need to do anything. Take responsibility where it's mine, no excessive apology, under 150 words, in my voice [VOICE PROFILE].",One email.,Delays reported early damage trust far less than delays discovered late.,DEL-01
DEL-03,Delivery & Client Communication,Consolidated feedback request,"Get one clear, consolidated round of feedback instead of scattered comments.",When sharing a draft or milestone for review.,[DELIVERABLE] | [REVIEW LINK] | [FEEDBACK DEADLINE] | [QUESTIONS I NEED ANSWERED],"Write an email sharing [DELIVERABLE] for review ([REVIEW LINK]). Ask for one consolidated set of feedback by [FEEDBACK DEADLINE], gathered from everyone on their side. Guide their review with these questions: [QUESTIONS I NEED ANSWERED]. Explain the difference between ""must change"" and ""nice to have"" and ask them to label comments that way. Mention what's in scope for this round per our agreement: [REVISION TERMS]. Under 170 words.",One email with numbered review questions.,"Specific review questions produce more useful feedback than ""what do you think?""",DEL-05
DEL-04,Delivery & Client Communication,Meeting notes → summary & action items,"Turn meeting notes or a transcript into decisions, actions and a follow-up email.",After every client meeting.,[NOTES]: notes or transcript (redacted; recorded only with consent),"Here are notes or a transcript from a client meeting (redacted): """"""[NOTES]"""""". Produce: (1) a 3-sentence summary; (2) decisions made; (3) action items as a table with Owner, Task, Due date (write ""TBC"" if no date was agreed; don't invent dates); (4) open questions. Then draft a short follow-up email to the client that confirms decisions and action items.","Summary, decisions list, action table, open questions, then a follow-up email.",Send the follow-up the same day. It becomes the record if memories differ later.,DEL-01
DEL-05,Delivery & Client Communication,Feedback triage,"Sort messy client feedback into clear, in-scope actions.","When feedback arrives as a long email, many comments or conflicting opinions.",[FEEDBACK] | [AGREED SCOPE],"Sort this client feedback (redacted) """"""[FEEDBACK]"""""" against our agreed scope """"""[AGREED SCOPE]"""""". Output a table with: Comment (paraphrased), Type (fix / change / new request / question / conflict), In scope? (yes / no / unclear), Proposed action. Then list conflicting comments that need the client to decide, and draft 2–3 clarifying questions to send back.","A triage table, a conflicts list and 2–3 clarifying questions.",Out-of-scope items go to DEL-07 before any work starts.,"DEL-07, DEL-03"
DEL-06,Delivery & Client Communication,Status report for a longer project,"Give stakeholders a clear monthly view of progress, budget and risks.",Monthly on projects longer than six weeks or with several stakeholders.,[MILESTONES AND STATUS] | [BUDGET USED]: if applicable | [RISKS],"Create a one-page monthly status report from: milestones & status """"""[MILESTONES AND STATUS]""""""; budget/time used """"""[BUDGET USED]""""""; risks """"""[RISKS]"""""". Sections: Overall status (On track / At risk / Off track, with one-line reason); Milestones (table); Budget/time; Risks & mitigations; Decisions needed from the client; Next month. Use only my data. If a status can't be determined, say so.",A one-page report with six sections.,"Send before a short monthly call, not instead of one.",DEL-01
DEL-07,Delivery & Client Communication,Scope change request email,"Quote extra work before doing it, without awkwardness.",Whenever a request falls outside the agreed scope.,[SCOPE] | [REQUEST] | [PRICE / TIME IMPACT I'LL PROVIDE],"A client asked for something outside our agreed scope. Agreed scope: """"""[SCOPE]"""""". Their request: """"""[REQUEST]"""""". Draft a friendly, confident email that: thanks them for the idea; notes it's outside the current scope (without blaming); offers 2 options, (a) add it now for [PRICE / TIME IMPACT I'LL PROVIDE] or (b) park it for a later phase; and asks them to confirm which option they prefer before I start. Under 170 words, in my voice.",One email with two clearly labeled options.,Log approved changes in writing (email is fine) before starting the work.,"PROP-06, DEL-05"
DEL-08,Delivery & Client Communication,Approval request for a milestone,Get explicit sign-off before moving to the next phase.,At the end of each phase or milestone.,[MILESTONE] | [WHAT WAS DELIVERED] | [NEXT PHASE],"Write an email asking the client to formally approve [MILESTONE]. Summarize what was delivered: """"""[WHAT WAS DELIVERED]"""""". Explain what approval means (we move to [NEXT PHASE]; later changes to this milestone may be treated as new requests per our agreement: [CHANGE TERMS]). Ask them to reply ""Approved"" or list remaining must-change items by [DATE]. Under 150 words, clear and friendly.",One email with a clear reply instruction.,"If an invoice is tied to this milestone, send it right after approval.",PAY-01
DEL-09,Delivery & Client Communication,Handling a vague request,Clarify an unclear client request before spending time on it.,"When a client asks for something like ""make it pop"" or ""can you look at the site?""",[REQUEST] | [PROJECT CONTEXT],"A client sent a vague request: """"""[REQUEST]"""""". Project context: """"""[PROJECT CONTEXT]"""""". Write a short reply that shows willingness to help and asks 2–3 specific questions (with example answers they can pick from) so I can understand exactly what they want. Under 100 words, in my voice [VOICE PROFILE].",One short reply with multiple-choice style questions.,Offering example answers speeds up replies from busy clients.,DEL-05
DEL-10,Delivery & Client Communication,Out-of-office / capacity notice,Tell clients about time off or reduced availability in advance.,1–2 weeks before holidays or planned time off.,[DATES] | [COVERAGE]: what happens while you're away | [DEADLINES AFFECTED],"Write an advance notice to clients that I'll be away [DATES]. What happens meanwhile: [COVERAGE]. Deadlines affected: [DEADLINES AFFECTED]. Ask them to send anything they need from me before [CUTOFF DATE]. Also write a matching 2-sentence auto-reply. Friendly, under 130 words total for the email.",One advance-notice email plus an auto-reply.,Add the cutoff date to each client's next action in your tracker.,DEL-01
DEL-11,Delivery & Client Communication,Explaining a technical issue simply,Explain a technical problem to a non-technical client without jargon.,When something breaks or a technical constraint affects the project.,[TECHNICAL DETAILS] | [IMPACT ON CLIENT] | [OPTIONS],"Explain this technical issue to a non-technical client: """"""[TECHNICAL DETAILS]"""""". Impact on them: [IMPACT ON CLIENT]. Options: [OPTIONS]. Use a short everyday analogy if helpful, avoid jargon (or define it once), state what I recommend and why, and what I need them to decide. Under 180 words. Don't overstate certainty. If I haven't confirmed a cause, say it's the likely cause.",One email with a clear recommendation and decision request.,"Check the analogy isn't misleading, since simple shouldn't mean inaccurate.",DEL-02
DEL-12,Delivery & Client Communication,Presentation outline for a deliverable,"Present your work in a way that frames decisions, not opinions.","Before presenting a design, strategy or report to a client.",[DELIVERABLE] | [CLIENT GOALS] | [KEY DECISIONS],"Create an outline for presenting [DELIVERABLE] to a client in 20 minutes. Their goals: """"""[CLIENT GOALS]"""""". Key decisions I made and why: """"""[KEY DECISIONS]"""""". Structure: recap of goals; walkthrough linking each decision to a goal; what I considered and rejected; questions to guide their feedback; next steps. Include timings.",A timed outline with speaking notes per section.,"Tying each decision to a stated goal reduces ""I just don't like it"" feedback.",DEL-03
DEL-13,Delivery & Client Communication,Thread summarizer,Catch up on a long email thread quickly and see what's actually needed.,"When returning to a project after time away, or a thread gets long.",[THREAD]: redacted email thread,"Summarize this email thread (redacted) """"""[THREAD]"""""" for me in: (1) 5 bullet summary; (2) decisions made, with who made them and when; (3) open questions and who owes an answer; (4) commitments I made; (5) suggested next reply in one or two sentences. Quote key phrases where precision matters.",Five labeled sections.,Verify commitments against the original emails before acting on them.,DEL-04
DEL-14,Delivery & Client Communication,Client check-in on a quiet project,Re-engage a client who has gone quiet mid-project.,When you're waiting on client input past its due date.,[WHAT I'M WAITING FOR] | [ORIGINAL DUE DATE] | [IMPACT ON TIMELINE],"A client hasn't sent [WHAT I'M WAITING FOR], which was due [ORIGINAL DUE DATE]. Write a friendly nudge that restates what's needed, explains the timeline impact ([IMPACT ON TIMELINE]), and offers an easy way forward (e.g., a 15-minute call, or a simplified version of what I need). Under 110 words, no guilt, in my voice [VOICE PROFILE].",One short email.,"If two nudges get no answer, pause the project in writing per your agreement.",HARD-04
PAY-01,Invoicing & Getting Paid,Invoice email,"Send an invoice with a short, clear cover message.",Every time you send an invoice.,"[INVOICE NUMBER], [AMOUNT], [DUE DATE], [PAYMENT LINK] | [WHAT IT COVERS]","Write a short email to accompany invoice [INVOICE NUMBER] for [AMOUNT], covering [WHAT IT COVERS], due [DUE DATE]. Include the payment link [PAYMENT LINK], a one-line thank-you tied to the work, and a note to reply if anything looks wrong. Under 80 words.",One short email with subject line.,Put the invoice number and due date in the subject line.,PAY-02
PAY-02,Invoicing & Getting Paid,Payment reminder sequence personalizer,"Send the right reminder, at the right stage, in the right tone.",For any unpaid invoice approaching or past its due date.,"[RELATIONSHIP], [INVOICE NUMBER], [AMOUNT], [DATE], [X] days overdue, previous reminders | [RELEVANT TERMS]: from your agreement","I need to send a payment reminder. Context (redacted): client relationship [NEW / LONG-TERM / DIFFICULT], invoice [NUMBER] for [AMOUNT], due [DATE], currently [X] days overdue, previous reminders sent: [LIST]. My agreement says: """"""[RELEVANT TERMS]"""""". Draft the next reminder at stage [A/B/C/D/E]. Keep the tone [FRIENDLY / FIRM / FORMAL] and under 120 words, in my voice [VOICE PROFILE]. Only mention fees or consequences that appear in my agreement text. Include the payment link placeholder [LINK].",One reminder email with subject line.,The Client Desk workbook tells you which stage (A–E) is due for each invoice.,"PAY-03, PAY-04"
PAY-03,Invoicing & Getting Paid,Payment plan offer,Offer a structured way for a struggling client to pay.,When a client says they can't pay in full right now.,[BALANCE] | [PLAN I'M WILLING TO OFFER],"A client can't pay the full balance of [BALANCE] right now. Write an email offering this plan: [PLAN I'M WILLING TO OFFER] (e.g., three payments on specific dates). Ask them to confirm in writing, state what happens to ongoing work during the plan per my terms [TERMS], and keep a supportive, practical tone. Under 150 words.",One email with the payment schedule as a short list.,Get the plan confirmed in writing and track each payment separately.,PAY-02
PAY-04,Invoicing & Getting Paid,Final notice (per your agreement),Send a formal final notice that states agreed next steps.,About 30 days overdue after earlier reminders.,[INVOICE DETAILS] | [HISTORY]: reminders sent and dates | [NEXT STEP FROM AGREEMENT],"Write a formal but courteous final notice for invoice [INVOICE DETAILS]. History of reminders: [HISTORY]. State the final payment date [FINAL DATE] and the next step exactly as my agreement describes it: [NEXT STEP FROM AGREEMENT]. Don't threaten anything outside my agreement or the law, and don't add fees I haven't listed. Invite them to contact me today to resolve it. Under 150 words.",One formal email.,"Before escalating (collections, small claims), check the rules that apply where you and the client are.",PAY-02
PAY-05,Invoicing & Getting Paid,Payment terms section for proposals,"Write clear, fair payment terms in plain language.",When creating or updating your proposal template.,"[TERMS I'VE DECIDED]: deposit, schedule, due days, methods, late policy","Turn these payment terms into a clear ""Payment terms"" section for my proposals: """"""[TERMS I'VE DECIDED]"""""". Use short bullets: deposit, schedule, due dates, how to pay, what happens if payment is late (only what I specified), and refunds/cancellation if provided. Plain language, no legalese, under 130 words. Add a note reminding me to confirm the terms match my signed agreement.",A headed bullet list plus a note to me.,Your agreement is the source of truth. This section summarizes it.,PROP-01
PAY-06,Invoicing & Getting Paid,Deposit request,Request a deposit clearly so the project can start.,Immediately after a proposal is accepted.,"[DEPOSIT AMOUNT], [DUE DATE], [PAYMENT LINK] | [START DATE]","Write a short, upbeat email requesting the project deposit of [DEPOSIT AMOUNT] via [PAYMENT LINK], due [DUE DATE], so we can start on [START DATE]. Explain in one sentence what the deposit secures (e.g., reserved time in my schedule). Under 90 words.",One short email.,"Hold your start date only once the deposit arrives, and say so kindly.",ONB-01
PAY-07,Invoicing & Getting Paid,Monthly money review,"Get a quick picture of invoicing, collections and upcoming cash.","Monthly, during your weekly review nearest month-end.","[INVOICE EXPORT]: number, client, issue date, due date, amount, paid, paid date (redacted)","Analyze my invoices (redacted) """"""[INVOICE EXPORT]"""""". Report: total invoiced this month; total collected; outstanding and overdue totals; average days to payment for paid invoices; clients who paid late more than once; invoices due in the next 30 days. Suggest up to 3 practical changes (e.g., deposits, milestone billing). Use only the data provided and show your calculations.","A short summary with a small table, calculations and up to 3 suggestions.",Check AI arithmetic against your spreadsheet totals.,OPS-06
PAY-08,Invoicing & Getting Paid,Payment received thank-you,Confirm payment and strengthen the relationship.,"When a payment arrives, especially after reminders.","[INVOICE NUMBER], [AMOUNT] | [NEXT STEP]","Write a short thank-you confirming receipt of payment for invoice [INVOICE NUMBER] ([AMOUNT]). Mention the next step [NEXT STEP] if there is one. If this followed reminders, keep it gracious with no reference to lateness. Under 60 words.",One brief message.,Mark the invoice as paid in your tracker the same day.,PAY-01
RET-01,"Offboarding, Testimonials & Referrals",Project wrap-up & handover email,Close a project cleanly with everything the client needs.,When final deliverables are approved.,[DELIVERABLES AND WHERE THEY ARE] | [ACCESS CHANGES] | [SUPPORT TERMS],"Write a project wrap-up email: thank the client; list final deliverables and where to find them """"""[DELIVERABLES AND WHERE THEY ARE]""""""; access changes """"""[ACCESS CHANGES]""""""; what support is included afterwards per """"""[SUPPORT TERMS]""""""; how to reach me for future work; and a note that the final invoice (if any) follows separately. Under 200 words, warm and organized.",One email with short sections.,Attach or link a one-page handover document (RET-03).,"RET-03, RET-02"
RET-02,"Offboarding, Testimonials & Referrals",Testimonial request with specific questions,"Get an honest, useful testimonial with permission to use it.",A few days after a successful project ends.,[PROJECT] | [VOICE PROFILE],"Draft a short email asking a client for a testimonial after we finished [PROJECT]. Make it easy: offer 3 optional questions (What was the situation before? What was it like working together? What changed afterwards?); say it can be 2–3 sentences; ask permission to publish it with their name and business (or anonymously, their choice); and say I'll send them the final wording to approve before it appears anywhere. Under 140 words, in my voice [VOICE PROFILE].",One email with three optional questions.,"Never edit a testimonial in a way that changes its meaning, and keep the permission email on file.",RET-04
RET-03,"Offboarding, Testimonials & Referrals",Handover document,Give clients a one-page guide to what you delivered and how to maintain it.,At the end of any project that the client will maintain.,[DELIVERABLES] | [HOW-TO NOTES] | [ACCOUNTS AND ACCESS]: no passwords,"Create a one-page handover document for the client from: deliverables """"""[DELIVERABLES]""""""; how-to notes """"""[HOW-TO NOTES]""""""; accounts and access (no passwords) """"""[ACCOUNTS AND ACCESS]"""""". Sections: What you have; Where everything lives; How to do common tasks (numbered steps); What to avoid; When to get help; Contacts. Plain language for a non-expert.",A one-page document with six headed sections.,"Keep a copy in your project archive, since it's useful if they come back later.",RET-01
RET-04,"Offboarding, Testimonials & Referrals",Testimonial tidy-up (with approval),Lightly edit a testimonial for length and clarity without changing its meaning.,When a client's testimonial is long or rambling.,[ORIGINAL TESTIMONIAL] | [TARGET LENGTH],"Here is a client's testimonial: """"""[ORIGINAL TESTIMONIAL]"""""". Suggest a shortened version of about [TARGET LENGTH] words that keeps their words and meaning. Only cut; don't add claims, adjectives or results they didn't state. Show what you removed. Then draft a one-line message asking the client to approve the shortened version before I publish it.","The shortened testimonial, a list of cuts, and an approval request.",Only publish the version the client approves in writing.,RET-02
RET-05,"Offboarding, Testimonials & Referrals",Referral ask after a great project,Ask a happy client for introductions at the right moment.,When a client expresses satisfaction at the end of a project.,[WHAT WENT WELL] | [IDEAL REFERRAL],"A client just told me they're happy with the project ([WHAT WENT WELL]). Write a short message thanking them and asking if they know anyone like [IDEAL REFERRAL] who might need similar help. Include a 2-sentence forwardable blurb about me. No pressure, under 110 words, in my voice [VOICE PROFILE].",One message plus a forwardable blurb.,"Thank anyone who refers you, whether or not the referral becomes a client.",LEAD-04
RET-06,"Offboarding, Testimonials & Referrals",90-day check-in,Stay in touch after a project without selling.,About 90 days after a project ends.,[PROJECT] | [ONE USEFUL TIP]: relevant to what you delivered,"Write a friendly 90-day check-in to a past client about [PROJECT]. Ask how it's working for them, share one useful tip related to what I delivered: [ONE USEFUL TIP], and mention I'm around if they need anything, without a sales pitch. Under 100 words, in my voice [VOICE PROFILE].",One short email.,The Client Desk calculates this date automatically for past clients.,RET-07
RET-07,"Offboarding, Testimonials & Referrals",Client feedback survey,Learn what to improve from finished projects.,Sent with or after the wrap-up email.,[SERVICE],"Create a short feedback survey (5–6 questions, under 3 minutes) for clients who finished a [SERVICE] project. Include: an overall rating; what worked best; what could have been better; how communication felt; likelihood to recommend (0–10); and permission to follow up. Use neutral wording that doesn't lead them toward positive answers.",A numbered question list with answer types.,"Read every response, and log patterns in your weekly review.",OPS-05
RET-08,"Offboarding, Testimonials & Referrals",Win-back message to a past client,Reconnect with a past client when you have something genuinely relevant.,When you launch a new service or have availability relevant to a past client.,[PAST PROJECT] | [RELEVANT OFFER OR IDEA],"Write a message to a past client (we worked on [PAST PROJECT]) mentioning [RELEVANT OFFER OR IDEA] and why it might be useful for them specifically. Make it easy to say ""not now"". No discounts unless I specify one, no false urgency, under 120 words, in my voice [VOICE PROFILE].",One short email.,Only send when the offer genuinely fits them; generic win-back emails feel like spam.,RET-06
MKT-01,Content & Marketing,One idea → a week of posts,Repurpose one piece of expertise into several platform-appropriate posts.,"Weekly content batching for LinkedIn, Instagram, Threads or similar.","[CORE IDEA]: a lesson, opinion or how-to from your work | [PLATFORMS] | [VOICE PROFILE]","Turn this idea from my work into posts for [PLATFORMS]: """"""[CORE IDEA]"""""". Create: 1 short how-to post, 1 opinion/lesson post, 1 checklist post, 1 myth-vs-reality post, and 1 question post that invites replies. Each must stand alone, match the platform's style and length norms, and sound like my voice [VOICE PROFILE]. No invented statistics, client stories or results. If a claim needs a source, write [SOURCE NEEDED].","Five labeled posts, each with a suggested hook line.",Add one real detail from your own experience to each post before publishing.,"MKT-02, MKT-03"
MKT-02,Content & Marketing,Hook generator,Write scroll-stopping first lines that are honest.,For posts and short videos.,[TOPIC] | [AUDIENCE],"Write 12 opening hooks (under 15 words each) for content about [TOPIC] for [AUDIENCE]. Mix: a specific problem, a surprising-but-true observation, a mistake to avoid, a ""here's exactly how"" promise, and a question. Every hook must be something the content can deliver on. No clickbait, no income claims, no ""nobody talks about this"".","A numbered list of 12 hooks, labeled by type.","Pick the hook after writing the content, not before.","MKT-01, MKT-04"
MKT-03,Content & Marketing,Carousel outline,Structure a swipeable educational carousel.,LinkedIn document posts or Instagram carousels.,[TOPIC] | [KEY STEPS OR POINTS],"Outline a 7–9 slide carousel teaching [TOPIC] using these points: """"""[KEY STEPS OR POINTS]"""""". Slide 1: hook (under 10 words). Slides 2–(n−1): one idea per slide, a headline under 8 words plus up to 25 words of support. Final slide: a recap plus a soft call to action (save, share, or a link in my profile). Also write a 2–3 sentence caption.","Numbered slides with headline/support text, plus a caption.",Design each slide in your brand template before adding any extra text.,MKT-01
MKT-04,Content & Marketing,Short video script (30–45 seconds),"Script a short, useful vertical video.","TikTok, Reels or YouTube Shorts.",[TOPIC] | [ONE PRACTICAL TIP],"Write a 30–45 second vertical video script about [TOPIC], teaching this tip: """"""[ONE PRACTICAL TIP]"""""". Format: Hook (0–3s), Setup (3–10s), Steps or demo (10–35s), Close with one takeaway and a soft CTA (35–45s). Include on-screen text for each section (under 8 words) and a note on what to show (screen recording, face to camera, B-roll). Conversational, no hype, no invented results.","A timed script table (Time, Voiceover, On-screen text, Visual).","Record the voiceover first, then match the visuals to it.",MKT-02
MKT-05,Content & Marketing,Services page draft,Write a clear services page that attracts the right clients.,When creating or refreshing your website.,"[SERVICE MENU]: from SET-05 | [IDEAL CLIENT] | [PROOF]: real testimonials with permission, or none","Draft a services page for my website using my service menu """"""[SERVICE MENU]"""""" for [IDEAL CLIENT]. Structure: headline focused on the client's outcome; who it's for (and not for); services with what's included; how it works (3–5 steps); proof: [PROOF] (use only what I provide; if none, omit the section); FAQs; call to action. Plain language, scannable, under 600 words. Don't invent testimonials, logos, numbers or guarantees.",A page draft with headings and placeholder markers where I must add info.,Replace generic phrases with specifics from your real projects.,SET-05
MKT-06,Content & Marketing,Newsletter issue from my notes,Turn a week of notes into a helpful short newsletter.,Weekly or biweekly newsletters.,"[NOTES]: ideas, lessons, links you want to share | [VOICE PROFILE]","Turn these notes into a short newsletter issue (350–500 words): """"""[NOTES]"""""". Structure: a personal-but-relevant opening (2–3 sentences, no invented anecdotes); one main lesson with steps or an example; 2–3 quick useful links with one-line explanations (use only the links I provided); a single question inviting replies. Suggest 3 subject lines under 45 characters. My voice: [VOICE PROFILE].",Subject line options plus the full issue.,"Replies are a good sign readers find the issue useful, so answer them.",MKT-01
MKT-07,Content & Marketing,LinkedIn profile refresh,Make your profile clearly say who you help and how.,When your positioning changes or your profile feels generic.,[CURRENT HEADLINE AND ABOUT] | [BUSINESS BRIEF],"Rewrite my LinkedIn headline (under 220 characters) and About section (under 1,600 characters) using my business brief """"""[BUSINESS BRIEF]"""""". Current version: """"""[CURRENT HEADLINE AND ABOUT]"""""". Headline: who I help + outcome + how. About: a short hook, who I help, what I do, how I work, one proof point I provided (or none), and a clear call to action. First person, no buzzwords, no invented claims. Give character counts.",A headline and an About section with character counts.,"Confirm the character counts yourself before pasting, since platform limits change.",SET-01
MKT-08,Content & Marketing,Case study post (with permission),Share a client success story truthfully and helpfully.,After a project with a client who agreed to be featured.,[PROJECT NOTES] | [CLIENT-APPROVED QUOTE OR RESULT],"Write a social post telling the story of a project, for other people facing the same problem. Notes: """"""[PROJECT NOTES]"""""". Use only this client-approved quote/result: """"""[CLIENT-APPROVED QUOTE OR RESULT]"""""". Structure: the problem, what we did (3 steps), what changed (only as approved), and one lesson readers can apply. Under 220 words. No exaggeration.",One post with a hook line.,Send the draft to the client for approval before posting.,"PROP-08, RET-02"
MKT-09,Content & Marketing,Content calendar for a month,Plan a month of content around your services and audience questions.,At the start of each month.,[SERVICES] | [AUDIENCE QUESTIONS] | [POSTS PER WEEK] | [PLATFORMS],"Create a 4-week content calendar for [PLATFORMS] at [POSTS PER WEEK] posts per week. My services: [SERVICES]. Questions my audience asks: """"""[AUDIENCE QUESTIONS]"""""". Mix: 60% teaching, 20% behind-the-scenes/process, 10% opinion, 10% offers. For each post: date slot, format, working title, the question it answers, and CTA. Avoid repeating the same topic within two weeks.","A calendar table (Week, Day, Format, Title, Question answered, CTA).",Batch-create one week at a time using MKT-01.,"MKT-01, MKT-06"
MKT-10,Content & Marketing,Lead magnet outline,"Plan a small, genuinely useful freebie that attracts ideal clients.",When building an email list.,"[AUDIENCE PROBLEM] | [FORMAT]: checklist, template, mini-guide","Outline a lead magnet solving this specific problem for my audience: [AUDIENCE PROBLEM]. Format: [FORMAT]. Include: 5 title options; what the reader will be able to do in 15 minutes; a section-by-section outline (max 6 sections); one worksheet or checklist element; how it connects naturally to my paid service or product without a hard sell. Keep it small, specific and quick to use.","Titles, promise, outline, worksheet idea, connection to offer.","A narrow, fast win usually beats a big ebook as a lead magnet.",MKT-06
OPS-01,"Systems, SOPs & Planning",SOP from rough notes,Document a process in minutes.,After doing a task while jotting notes or recording a voice memo.,[NOTES],"Turn my rough notes into an SOP using this template: SOP name, Purpose, Trigger, Time, Tools & templates, Steps (numbered, each starting with a verb, max 12), Done when, Common mistakes, Last reviewed [TODAY'S DATE]. Notes: """"""[NOTES]"""""". Keep my exact tool names and links. Where a step is unclear or seems to be missing, add [CHECK: question] instead of guessing.",A complete SOP in the template's headings.,Log it in the SOP Library tab of The Client Desk with a review date.,OPS-02
OPS-02,"Systems, SOPs & Planning",SOP stress test,Find gaps in an SOP before someone (including future you) relies on it.,"After writing an SOP, or before handing a task to a contractor.",[SOP TEXT],"Act as someone doing this task for the first time with no context. Read this SOP: """"""[SOP TEXT]"""""". List: steps that assume knowledge you don't have; missing tools, links or access; ambiguous words (""soon"", ""update"", ""check""); points where a mistake would be costly and a check is missing; and a suggested fix for each. Don't rewrite the whole SOP.","A table (Issue, Where, Why it matters, Suggested fix).","Fix the top three issues, then mark the SOP as reviewed.",OPS-01
OPS-03,"Systems, SOPs & Planning",Automation opportunity check,"Decide whether a task should be templated, AI-drafted, automated or left alone.",For high-scoring tasks from your admin audit.,"[TASK DESCRIPTION]: steps, frequency, minutes, risk | [TOOLS I HAVE]","Evaluate this task for automation: """"""[TASK DESCRIPTION]"""""". Tools I already have: [TOOLS I HAVE]. Answer: Is it already templated? Is it weekly or more? Is it rule-based? What happens if it fails silently? Then recommend one level: Template, AI draft, Automate, or Keep human, with reasoning. If you recommend automation, outline the trigger, steps, human checkpoint and failure alert using only tools I have or clearly free options, and note any limits I should check.","Four yes/no answers with notes, a recommendation, and an optional automation outline.",Build automation only after the manual version has worked for a few weeks.,OPS-04
